"Week","Team","Points","Home","Cumulative"
35,"Manchester United",0,"Home",65
35,"West Bromwich",3,"Away",40
35,"Chelsea",3,"Home",83
35,"Crystal Palace",0,"Away",42
35,"Tottenham",0,"Home",58
35,"Manchester City",3,"Away",70
35,"Hull",0,"Home",34
35,"Arsenal",3,"Away",71
36,"Everton",0,"Home",44
36,"Sunderland",3,"Away",37
36,"Aston Villa",3,"Home",38
36,"West Ham",0,"Away",47
36,"Hull",0,"Home",34
36,"Burnley",3,"Away",29
36,"Leicester",3,"Home",37
36,"Southampton",0,"Away",57
36,"Newcastle",1,"Home",36
36,"West Bromwich",1,"Away",41
36,"Stoke",3,"Home",50
36,"Tottenham",0,"Away",58
36,"Crystal Palace",0,"Home",42
36,"Manchester United",3,"Away",68
36,"Manchester City",3,"Home",73
36,"QPR",0,"Away",27
36,"Chelsea",1,"Home",84
36,"Liverpool",1,"Away",62
36,"Arsenal",0,"Home",71
36,"Swansea",3,"Away",56
37,"Southampton",3,"Home",60
37,"Aston Villa",0,"Away",38
37,"Burnley",1,"Home",30
37,"Stoke",1,"Away",51
37,"QPR",3,"Home",30
37,"Newcastle",0,"Away",36
37,"Sunderland",1,"Home",38
37,"Leicester",1,"Away",38
37,"Tottenham",3,"Home",61
37,"Hull",0,"Away",34
37,"West Ham",0,"Home",47
37,"Everton",3,"Away",47
37,"Liverpool",0,"Home",62
37,"Crystal Palace",3,"Away",45
37,"Swansea",0,"Home",56
37,"Manchester City",3,"Away",76
37,"Manchester United",1,"Home",69
37,"Arsenal",1,"Away",72
37,"West Bromwich",3,"Home",44
37,"Chelsea",0,"Away",84
38,"Arsenal",3,"Home",75
38,"West Bromwich",0,"Away",44
38,"Aston Villa",0,"Home",38
38,"Burnley",3,"Away",33
38,"Chelsea",3,"Home",87
38,"Sunderland",0,"Away",38
38,"Crystal Palace",3,"Home",48
38,"Swansea",0,"Away",56
38,"Everton",0,"Home",47
38,"Tottenham",3,"Away",64
38,"Hull",1,"Home",35
38,"Manchester United",1,"Away",70
38,"Leicester",3,"Home",41
38,"QPR",0,"Away",30
38,"Manchester City",3,"Home",79
38,"Southampton",0,"Away",60
38,"Newcastle",3,"Home",39
38,"West Ham",0,"Away",47
38,"Stoke",3,"Home",54
38,"Liverpool",0,"Away",62
